389,389,-800,829.961008133
389,389,-750,779.961008133
389,389,-700,729.961008133
389,389,-650,679.961008133
389,389,-600,629.961008133
389,389,-550,579.961008133
389,389,-500,529.961008133
389,389,-450,479.961008133
389,389,-400,429.961008133
389,389,-350,379.961008133
389,389,-300,329.961008133
389,389,-250,279.961008133
389,389,-200,229.961008133
389,389,-150,179.961008133
389,389,-100,129.961008133
389,389,-50,89.9217161238
378,378,-750,797.91426779
378,378,-700,747.91426779
378,378,-650,697.91426779
378,378,-600,647.91426779
378,378,-550,597.91426779
378,378,-500,547.91426779
378,378,-450,497.91426779
378,378,-400,447.91426779
378,378,-350,397.91426779
378,378,-300,347.91426779
378,378,-250,297.91426779
378,378,-200,247.91426779
378,378,-150,221.796663765
378,378,-100,171.796663765
378,378,-50,150.0
378,378,0,100.0
368,368,-700,765.867527447
368,368,-650,715.867527447
368,368,-600,665.867527447
368,368,-550,615.867527447
368,368,-500,565.867527447
368,368,-450,515.867527447
368,368,-400,465.867527447
368,368,-350,415.867527447
368,368,-300,403.671611406
368,368,-250,353.671611406
368,368,-200,303.671611406
368,368,-150,253.671611406
368,368,-100,250.0
368,368,-50,200.0
368,368,0,150.0
368,368,50,100.0
368,418,-700,753.976505086
368,418,-650,703.976505086
368,418,-600,653.976505086
368,418,-550,603.976505086
368,418,-500,553.976505086
368,418,-450,503.976505086
368,418,-400,453.976505086
368,418,-350,403.976505086
368,418,-300,371.921275299
368,418,-250,321.921275299
368,418,-200,271.921275299
368,418,-150,206.015253089
368,418,-100,170.156567752
368,418,-50,100.0
368,418,0,50.0
368,418,50,0.0
418,368,-700,744.05448882
418,368,-650,694.05448882
418,368,-600,644.05448882
418,368,-550,594.05448882
418,368,-500,544.05448882
418,368,-450,494.05448882
418,368,-400,444.05448882
418,368,-350,394.05448882
418,368,-300,352.038551041
418,368,-250,302.038551041
418,368,-200,252.038551041
418,368,-150,176.171820841
418,368,-100,130.234851629
418,368,-50,50.0
418,368,0,0.0
418,368,50,-50.0
418,418,-700,736.101478647
418,418,-650,686.101478647
418,418,-600,636.101478647
418,418,-550,586.101478647
418,418,-500,536.101478647
418,418,-450,486.101478647
418,418,-400,436.101478647
418,418,-350,386.101478647
418,418,-300,336.101478647
418,418,-250,286.101478647
418,418,-200,236.101478647
418,418,-150,164.141314664
418,418,-100,114.141314664
418,418,-50,50.0
418,418,0,0.0
418,418,50,-50.0
357,357,-650,733.820787103
357,357,-600,683.820787103
357,357,-550,633.820787103
357,357,-500,583.820787103
357,357,-450,533.820787103
357,357,-400,535.546559048
357,357,-350,485.546559048
357,357,-300,435.546559048
357,357,-250,385.546559048
357,357,-200,335.546559048
357,357,-150,350.0
357,357,-100,300.0
357,357,-50,250.0
357,357,0,200.0
357,357,50,150.0
357,357,100,100.0
357,407,-650,715.984253563
357,407,-600,665.984253563
357,407,-550,615.984253563
357,407,-500,565.984253563
357,407,-450,515.984253563
357,407,-400,487.921054886
357,407,-350,437.921054886
357,407,-300,387.921054886
357,407,-250,337.921054886
357,407,-200,287.921054886
357,407,-150,260.1169756
357,407,-100,210.1169756
357,407,-50,160.1169756
357,407,0,80.2348516287
357,407,50,0.0
357,407,100,-19.7651483713
407,357,-650,706.062237296
407,357,-600,656.062237296
407,357,-550,606.062237296
407,357,-500,556.062237296
407,357,-450,506.062237296
407,357,-400,468.038330629
407,357,-350,418.038330629
407,357,-300,368.038330629
407,357,-250,318.038330629
407,357,-200,268.038330629
407,357,-150,230.155967467
407,357,-100,180.155967467
407,357,-50,130.155967467
407,357,0,40.3131355049
407,357,50,-50.0
407,357,100,-59.6868644951
407,407,-650,694.132722037
407,407,-600,644.132722037
407,407,-550,594.132722037
407,407,-500,544.132722037
407,407,-450,494.132722037
407,407,-400,444.132722037
407,407,-350,394.132722037
407,407,-300,344.132722037
407,407,-250,294.132722037
407,407,-200,244.132722037
407,407,-150,194.132722037
407,407,-100,144.132722037
407,407,-50,94.1327220372
407,407,0,16.1728300576
407,407,50,-50.0
407,407,100,-83.8271699424
346,346,-600,701.77404676
346,346,-550,717.421506689
346,346,-500,667.421506689
346,346,-450,617.421506689
346,346,-400,567.421506689
346,346,-350,517.421506689
346,346,-300,467.421506689
346,346,-250,500.0
346,346,-200,450.0
346,346,-150,400.0
346,346,-100,350.0
346,346,-50,300.0
346,346,0,250.0
346,346,50,200.0
346,346,100,150.0
346,346,150,100.0
346,396,-600,701.77404676
346,396,-550,685.609462269
346,396,-500,635.609462269
346,396,-450,585.609462269
346,396,-400,535.609462269
346,396,-350,485.609462269
346,396,-300,435.609462269
346,396,-250,419.844032533
346,396,-200,369.844032533
346,396,-150,319.844032533
346,396,-100,269.844032533
346,396,-50,219.844032533
346,396,0,169.844032533
346,396,50,200.0
346,396,100,69.8440325331
346,396,150,19.8440325331
346,446,-600,677.99200204
346,446,-550,653.920834473
